#object_id,update_time,longitude,latitude,speed,heading,altitude,ads_callsign,iata_callsign,squawk,status,aircraft_category,aircraft_construction_number,registration,aircraft_type,aircraft_type_full,airframe_mode_s_id,operator_category,airline,airline_iata,airline_icao,scheduled_arrival_time,scheduled_departure_time,actual_arrival_time,actual_departure_time,origin,origin_full,origin_iata,origin_longitude,origin_latitude,destination,destination_full,destination_iata,destination_longitude,destination_latitude,distance_from_origin,distance_to_destination,distance_from_origin_to_destination,percent_complete,is_blocked,is_general_aviation,route,route_faa,route_full,route_iata,sending_center_id,sending_center_id_full,waypoints
DAL54,2013-07-01 05:53:50,-66.75,28.25,,,33000,DAL54,DAL54,,A,,,,,,,,,,,,,,,KATL,,,,,DNMM,,,,,,,,,,,,ATL..CHS105019..JAINS.L375.DUNIG..2600N/06000W..2500N/05000W..2300N/04000W..ERNEK..LUMPO.UR976.YF.UA601.ENINO.UA601.EBSUD.UA601.BIGOM.UA601.TYE.UA609.POLTO.UA609.LAG..DNMM,,,,,
UAL48,2013-07-01 05:53:53,-42.1,58.4167,530,61,33000,UAL48,UAL48,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKW5586,2013-07-01 05:54:07,-97.85,33.2333,414,168,15500,SKW5586,SKW5586,,A,,,,CRJ7,,,,,,,2013-07-02 05:30:20,2013-07-02 02:26:00,2013-07-01 06:07:26,2013-07-01 03:09:00,KSFO,,,,,KDFW,,,,,,,,,,,,SFO./.PNH.UKW2.KDFW/0603,,,,,
UAL1635,2013-07-01 05:54:08,-121.402,47.7739,358,269,18400,UAL1635,UAL1635,,A,,,,B738,,,,,,,2013-07-01 06:36:00,2013-07-01 01:09:00,2013-07-01 06:06:06,2013-07-01 01:02:00,KEWR,,,,,KSEA,,,,,,,,,,,,EWR./.MLS305141..MLS303151..TEMPL.GLASR9.KSEA,,,,,
UAL6243,2013-07-01 05:54:08,-122.199,47.3936,272,184,5900,UAL6243,UAL6243,,A,,,,B739,,,,,,,2013-07-01 05:51:57,2013-07-01 02:05:00,2013-07-01 06:01:42,2013-07-01 02:17:00,KORD,,,,,KSEA,,,,,,,,,,,,ORD./.DBQ137019..MLP.GLASR9.KSEA/0607,,,,,
SWA101,2013-07-01 05:54:09,-104.433,39.8333,300,187,10900,SWA101,SWA101,,A,,,,B737,,,,,,,2013-07-01 07:03:00,2013-07-01 05:35:00,2013-07-01 07:19:26,2013-07-01 05:52:00,KDEN,,,,,KPHX,,,,,,,,,,,,DEN.SOLAR1.DAAYE..GUP.EAGUL5.KPHX/0720,,,,,
ASA97,2013-07-01 05:54:10,-125.683,50.2,460,323,38000,ASA97,ASA97,,A,,,,B737,,,,,,,2013-07-02 08:22:22,2013-07-02 05:21:00,2013-07-01 08:23:29,2013-07-01 05:23:00,KSEA,,,,,PANC,,,,,,,,,,,,SEA./.BKA..LAIRE..JOH.WITTI1.PANC,,,,,
N30LP,2013-07-01 05:54:10,-86.4833,36.2,154,58,6100,N30LP,N30LP,,A,,,,,,,,,,,2013-07-01 08:05:01,2013-07-01 05:55:00,,,KBNA,,,,,KAGC,,,,,,,,,,,,BNA..BARRY..4021N/07955W..KAGC/0211,,,,,
CFRMV,2013-07-01 05:54:10,-95.9,53.5,250,11,25000,CFRMV,CFRMV,,A,,,,BE20,,,,,,,2013-07-01 08:19:15,2013-07-01 04:55:00,,,CYWG,,,,,CYRT,,,,,,,,,,,,YWG./.YYQ..YRT..CYRT,,,,,
DLH477,2013-07-01 05:54:10,-96.2333,61.85,490,65,37000,DLH477,DLH477,,A,,,,A333,,,,,,,,,,,CYVR,,,,,EDDM,,,,,,,,,,,,YVR./.MUSVA..6400N/06000W..6300N/05000W..6200N/04000W..6000N/03000W..5800N/02000W..SUNOT..KESIX..REVNU..BAKUR..UN546..STU..UL9..KONAN..UL607..AMASI..UM149..BOMBI.T104.ANORA..EDDM,,,,,
NKS339,2013-07-01 05:54:10,-98.2447,31.8222,413,283,36000,NKS339,NKS339,,A,,,,A319,,,,,,,,,2013-07-01 08:13:19,2013-07-01 03:21:00,KFLL,,,,,KLAX,,,,,,,,,,,,FLL./.2915N/8758W..TNP.SEAVU2.KLAX,,,,,
FFT122,2013-07-01 05:54:10,-98.565,34.1264,518,136,34400,FFT122,FFT122,,A,,,,A319,,,,,,,2013-07-01 06:28:00,2013-07-01 04:59:00,2013-07-01 06:18:17,2013-07-01 04:57:00,KDEN,,,,,KDFW,,,,,,,,,,,,DEN./.PUB354028..UKW.UKW2.KDFW/0616,,,,,
N248BF,2013-07-01 05:54:10,-98.7322,34.8883,102,343,4400,N248BF,N248BF,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRS1300,2013-07-01 05:54:11,-113.199,35.6217,452,271,31300,TRS1300,TRS1300,,A,,,,B737,,,,,,,2013-07-01 05:45:05,2013-07-01 00:56:00,2013-07-01 06:10:48,2013-07-01 01:18:00,KBWI,,,,,KLAS,,,,,,,,,,,,BWI./.TXK053034..PGS.TYSSN3.KLAS,,,,,
DAL1603,2013-07-01 05:54:11,-113.633,35.7031,434,274,22200,DAL1603,DAL1603,,A,,,,B752,,,,,,,2013-07-02 06:04:46,2013-07-02 02:21:00,2013-07-01 06:07:46,2013-07-01 02:26:00,KATL,,,,,KLAS,,,,,,,,,,,,ATL./.3533N/11113W..KADDY.TYSSN3.KLAS,,,,,
NKS695,2013-07-01 05:54:11,-114.338,36.3506,370,115,12000,NKS695,NKS695,,A,,,,A320,,,,,,,2013-07-01 05:22:00,2013-07-01 00:58:00,2013-07-01 06:03:19,2013-07-01 01:47:00,KBWI,,,,,KLAS,,,,,,,,,,,,BWI./.SLN303043..KSINO.GRNPA1.KLAS,,,,,
AAY599,2013-07-01 05:54:11,-114.683,36.1075,315,111,9100,AAY599,AAY599,,A,,,,MD83,,,,,,,2013-07-01 04:06:09,2013-07-01 02:41:00,2013-07-01 05:59:06,2013-07-01 04:39:00,KCOS,,,,,KLAS,,,,,,,,,,,,COS./.ALS332049..KSINO.GRNPA1.KLAS/0604,,,,,
N239AT,2013-07-01 05:54:11,-115.239,33.6033,138,94,9100,N239AT,N239AT,,A,,,,,,,,,,,2013-07-01 07:11:56,2013-07-01 04:35:00,2013-07-01 07:21:10,2013-07-01 04:41:00,KLGB,,,,,KIWA,,,,,,,,,,,,GB..SLI.V64.TRM.V64.BLH.V16.PXR..IWA/0712,,,,,
SWA116,2013-07-01 05:54:11,-115.596,35.8897,350,272,14200,SWA116,SWA116,,A,,,,,,,,,,,2013-07-01 06:57:01,2013-07-01 05:50:00,,,KLAS,,,,,KSMF,,,,,,,,,,,,LAS.SHEAD7.OAL..SWR.FLUNK3.KSMF/0656,,,,,
DAL1168,2013-07-01 05:54:11,-115.65,33.5614,459,94,32900,DAL1168,DAL1168,,A,,,,,,,,,,,2013-07-02 10:06:29,2013-07-02 05:32:00,2013-07-01 10:03:53,2013-07-01 05:30:00,KLAX,,,,,KMIA,,,,,,,,,,,,LAX./.MZB356052..LEV.Q102.BAGGS.SSCOT1.KMIA/1002,,,,,
SWA424,2013-07-01 05:54:11,-115.835,35.9453,394,299,19400,SWA424,SWA424,,A,,,,,,,,,,,2013-07-01 06:55:51,2013-07-01 05:48:00,2013-07-01 06:53:49,2013-07-01 05:46:00,KLAS,,,,,KOAK,,,,,,,,,,,,LAS./.LAS231028..BIKKR.SHEAD7.OAL.MADN5.KOAK/0657,,,,,
DAL2355,2013-07-01 05:54:11,-115.962,34.1639,488,258,34000,DAL2355,DAL2355,,A,,,,B752,,,,,,,2013-07-02 06:26:39,2013-07-02 02:28:00,2013-07-01 06:16:39,2013-07-01 02:15:00,KATL,,,,,KLAX,,,,,,,,,,,,ATL./.ACH..ABQ.J78.DRK.J231.TNP.SEAVU2.KLAX/0614,,,,,
EJA284,2013-07-01 05:54:11,-116.325,36.5047,387,132,22700,EJA284,EJA284,,A,,,,F2TH,,,,,,,,,2013-07-01 06:14:24,2013-07-01 05:06:00,KSJC,,,,,KLAS,,,,,,,,,,,,SJC./.SJC089044..LIDAT..BTY.SUNST3.KLAS/0619,,,,,
SKW465T,2013-07-01 05:54:11,-116.332,34.8644,448,237,32000,SKW465T,SKW465T,,A,,,,CRJ2,,,,,,,2013-07-01 06:12:00,2013-07-01 04:13:00,2013-07-01 06:26:47,2013-07-01 04:24:00,KDEN,,,,,KSBA,,,,,,,,,,,,DEN./.JNC182049..HEC..FIM..KWANG..KSBA/0623,,,,,
UAL448,2013-07-01 05:54:11,-116.348,33.6997,465,72,27800,UAL448,UAL448,,A,,,,,,,,,,,2013-07-02 10:10:20,2013-07-02 05:30:00,2013-07-01 10:11:59,2013-07-01 05:34:00,KLAX,,,,,KBWI,,,,,,,,,,,,LAX./.TRM257027..DRK..CIM.J134.LBL.J19.ICT..STL..TTH..APE..AIR.EMI5.KBWI/1023,,,,,
AWE50,2013-07-01 05:54:11,-116.732,32.635,375,83,15700,AWE50,AWE50,,A,,,,A321,,,,,,,2013-07-01 06:35:04,2013-07-01 05:40:00,,,KSAN,,,,,KPHX,,,,,,,,,,,,SAN.POGGI2.IPL.J18.BZA..HOGGZ..MOHAK.GEELA6.KPHX/0641,,,,,
AAL1302,2013-07-01 05:54:11,-116.747,33.9392,446,273,22000,AAL1302,AAL1302,,A,,,,B738,,,,,,,2013-07-01 06:13:00,2013-07-01 01:21:00,2013-07-01 06:16:13,2013-07-01 01:16:00,KMIA,,,,,KLAX,,,,,,,,,,,,MIA./.CWK278026..BXK..TNP.SEAVU2.KLAX,,,,,
SWA2794,2013-07-01 05:54:11,-118.495,34.9447,414,131,33600,SWA2794,SWA2794,,A,,,,B737,,,,,,,2013-07-02 05:23:11,2013-07-02 04:29:00,2013-07-01 06:13:53,2013-07-01 05:18:00,KSJC,,,,,KONT,,,,,,,,,,,,SJC./.SJC116040..PMD.ZIGGY4.KONT/0616,,,,,
TAI560,2013-07-01 05:54:11,-118.723,33.7983,485,310,38000,TAI560,TAI560,,A,,,,A319,,,,,,,2013-07-01 06:35:27,2013-07-01 01:17:00,2013-07-01 06:39:39,2013-07-01 01:24:01,MSLP,,,,,KSFO,,,,,,,,,,,,SLP./.MZB290018..RZS..BSR.BSR2.KSFO,,,,,
ANZ1,2013-07-01 05:54:11,-121.498,31.4792,482,230,30000,ANZ1,ANZ1,,A,,,,,,,,,,,2013-07-02 17:25:00,2013-07-02 05:14:00,2013-07-01 17:18:33,2013-07-01 05:23:00,KLAX,,,,,NZAA,,,,,,,,,,,,LAX./.LAX243009..FICKY..2600N/13000W..2100N/13800W..1500N/14500W..1000N/15000W..0500N/15500W..0000N/15900W..0500S/16300W..1000S/16700W..BIGEK..2000S/17600W..2500S/17900W..3000S/17800E..3356S/17623E..EXOPI..AA..NZAA/1726,,,,,
AAL267,2013-07-01 05:54:11,-153.1,22.8333,440,255,38000,AAL267,AAL267,,A,,,,B752,,,,,,,,,,,KLAX,,,,,PHNL,,,,,,,,,,,,LAX..DINTY.R576.DENNS.MAGGI3.PHNL,,,,,
UAL1004,2013-07-01 05:54:11,-154.367,20.75,430,205,20400,UAL1004,UAL1004,,A,,,,B738,,,,,,,,,,,KLAX,,,,,PHTO,,,,,,,,,,,,LAX.PRCH9.DINTY.R576.DENNS..PHTO/0617,,,,,
N204JS,2013-07-01 05:54:11,-157.833,59.4333,200,254,6700,N204JS,N204JS,,A,,,,BE20,,,,,,,2013-07-01 06:31:13,2013-07-01 05:13:00,,,PANC,,,,,PADL,,,,,,,,,,,,NC..DLG,,,,,
